"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35651","check edit valid data working or not","chromium","2026-05-21","passed","2026-05-21","test user management page","user.spec.js","",""
"","100708","check vendor name with update data","chromium","2026-05-23","failed","2026-05-23","test vendor user login management page.","vendor.spec.js","",""
"","1","check the usertype with invalid data","chromium","2026-05-21","skipped","2026-05-21","test user management page","user.spec.js","",""
"","0","check phone number with invalid data","chromium","2026-05-21","skipped","2026-05-21","test user management page","user.spec.js","",""
"","20814","check user start date and end date filter with valid data @functional @regression","chromium","2026-06-07","passed","2026-06-07","test user login history","UserLoginHistory.spec.js","",""
"","20836","check vendor data name with valid data @functional @regresstion","chromium","2026-06-09","passed","2026-06-09","test vendor info page","vendorInfo.spec.js","",""
"","26045","check blank Organization type name @functional @regresstion","chromium","2026-06-09","passed","2026-06-09","test vendor info page","vendorInfo.spec.js","",""
"","34288","check status name with update data","chromium","2026-05-23","passed","2026-05-23","test vendor user login management page.","vendor.spec.js","",""
"","23727","check vendor with invalid data","chromium","2026-05-23","passed","2026-05-23","test vendor user login management page.","vendor.spec.js","",""
"","16571","check update vendor name with blank code name with zero @functional @regresstion","chromium","2026-06-09","passed","2026-06-09","test vendor info page","vendorInfo.spec.js","",""
"","23079","check role with invalid data","chromium","2026-05-23","passed","2026-05-23","test vendor user login management page.","vendor.spec.js","",""
"","16096","check update vendor name with valid data @functional @regresstion","chromium","2026-06-09","passed","2026-06-09","test vendor info page","vendorInfo.spec.js","",""
"","121312","check edit blank password working or not","chromium","2026-05-21","failed","2026-05-21","test user management page","user.spec.js","",""
"","27768","check dulicate vendor with invalid data","chromium","2026-05-23","passed","2026-05-23","test vendor user login management page.","vendor.spec.js","",""
"","34212","check status with invalid data","chromium","2026-05-23","passed","2026-05-23","test vendor user login management page.","vendor.spec.js","",""
"","38473","check email name with update data","chromium","2026-05-23","passed","2026-05-23","test vendor user login management page.","vendor.spec.js","",""
"","13391","check invalid username and password","chromium","2026-05-17","passed","2026-05-17","login page test","Login.spec.js","",""
"","28132","check Phone name with update data","chromium","2026-05-23","passed","2026-05-23","test vendor user login management page.","vendor.spec.js","",""
"","72525","check logout","chromium","2026-05-18","passed","2026-05-18","test logout page","Logout.spec.js","",""
"","0","check status with invalid data","chromium","2026-05-21","skipped","2026-05-21","test user management page","user.spec.js","",""
"","88576","check first name with invalid data","chromium","2026-05-21","failed","2026-05-21","test user management page","user.spec.js","",""
"","74502","test delete working or not","chromium","2026-05-21","passed","2026-05-21","test user management page","user.spec.js","",""
"","23088","check password with invalid data","chromium","2026-05-23","passed","2026-05-23","test vendor user login management page.","vendor.spec.js","",""
"","24358","check system name filter working or not","chromium","2026-05-21","passed","2026-05-21","test user management page","user.spec.js","",""
"","1","check all field with valid data","chromium","2026-05-21","skipped","2026-05-21","test user management page","user.spec.js","",""
"","20358","check blank key contact position name @functional @regresstion","chromium","2026-06-09","passed","2026-06-09","test vendor info page","vendorInfo.spec.js","",""
"","0","check email with invalid data","chromium","2026-05-21","skipped","2026-05-21","test user management page","user.spec.js","",""
"","30209","check Password name with update data","chromium","2026-05-23","passed","2026-05-23","test vendor user login management page.","vendor.spec.js","",""
"","25817","check first name with invalid data","chromium","2026-05-23","passed","2026-05-23","test vendor user login management page.","vendor.spec.js","",""
"","25806","check role name filter working or not","chromium","2026-05-21","passed","2026-05-21","test user management page","user.spec.js","",""
"","14279","check update vendor name with blank organization name @functional @regresstion","chromium","2026-06-09","passed","2026-06-09","test vendor info page","vendorInfo.spec.js","",""
"","16996","check update vendor name with blank contact position name @functional @regresstion","chromium","2026-06-09","passed","2026-06-09","test vendor info page","vendorInfo.spec.js","",""
"","32906","check phone with invalid data","chromium","2026-05-23","passed","2026-05-23","test vendor user login management page.","vendor.spec.js","",""
"","46343","check vendor user with valid data","chromium","2026-05-23","passed","2026-05-23","test vendor user login management page.","vendor.spec.js","",""
"","1","check user id with invalid data","chromium","2026-05-21","skipped","2026-05-21","test user management page","user.spec.js","",""
"","1","checked dept with invalid data","chromium","2026-05-21","skipped","2026-05-21","test user management page","user.spec.js","",""
"","14888","check user name filter with valid data @functional @regression","chromium","2026-06-07","passed","2026-06-07","test user login history","UserLoginHistory.spec.js","",""
"","23210","check department name filter working or not","chromium","2026-05-21","passed","2026-05-21","test user management page","user.spec.js","",""
"","1","check the role with invalid data","chromium","2026-05-21","skipped","2026-05-21","test user management page","user.spec.js","",""
"","28417","check edit working or not","chromium","2026-05-21","passed","2026-05-21","test user management page","user.spec.js","",""
"","14004","check user org div position filter with valid data @functional @regression","chromium","2026-06-07","passed","2026-06-07","test user login history","UserLoginHistory.spec.js","",""
"","10415","check user type filter with valid data @functional @regression","chromium","2026-06-07","passed","2026-06-07","test user login history","UserLoginHistory.spec.js","",""
"","23323","check system name filter","chromium","2026-05-23","passed","2026-05-23","test vendor user login management page.","vendor.spec.js","",""
"","20643","check blank district name @functional @regresstion","chromium","2026-06-09","passed","2026-06-09","test vendor info page","vendorInfo.spec.js","",""
"","26193","check blank vendor code name @functional @regresstion","chromium","2026-06-09","failed","2026-06-09","test vendor info page","vendorInfo.spec.js","",""
"","17427","check update vendor name with blank official name @functional @regresstion","chromium","2026-06-09","passed","2026-06-09","test vendor info page","vendorInfo.spec.js","",""
"","21163","check blank division name @functional @regresstion","chromium","2026-06-09","passed","2026-06-09","test vendor info page","vendorInfo.spec.js","",""
"","32398","check view button working or not","chromium","2026-05-21","passed","2026-05-21","test user management page","user.spec.js","",""
"","88920","check last name with invalid data","chromium","2026-05-21","failed","2026-05-21","test user management page","user.spec.js","",""
"","0","check password with invalid data","chromium","2026-05-21","skipped","2026-05-21","test user management page","user.spec.js","",""
"","20273","check phone number filter working or not","chromium","2026-05-21","passed","2026-05-21","test user management page","user.spec.js","",""
"","30553","check last name with invalid data","chromium","2026-05-23","passed","2026-05-23","test vendor user login management page.","vendor.spec.js","",""
"","16875","check update vendor name with blank district @functional @regresstion","chromium","2026-06-09","passed","2026-06-09","test vendor info page","vendorInfo.spec.js","",""
"","32752","check invalid user name","chromium","2026-05-17","passed","2026-05-17","login page test","Login.spec.js","",""
"","24611","check email with invalid data","chromium","2026-05-23","passed","2026-05-23","test vendor user login management page.","vendor.spec.js","",""
"","32860","check invalid password","chromium","2026-05-17","passed","2026-05-17","login page test","Login.spec.js","",""
"","13757","check delete vendor information data @functional @regresstion","chromium","2026-06-09","passed","2026-06-09","test vendor info page","vendorInfo.spec.js","",""
"","21599","check blank vendor code with zero name @functional @regresstion","chromium","2026-06-09","passed","2026-06-09","test vendor info page","vendorInfo.spec.js","",""
"","123399","check update vendor name with blank address @functional @regresstion","chromium","2026-06-09","failed","2026-06-09","test vendor info page","vendorInfo.spec.js","",""
"","24642","check phone number filter","chromium","2026-05-23","passed","2026-05-23","test vendor user login management page.","vendor.spec.js","",""
"","14159","check valid login","chromium","2026-05-17","passed","2026-05-17","login page test","Login.spec.js","",""
"","20877","check blank official name @functional @regresstion","chromium","2026-06-09","passed","2026-06-09","test vendor info page","vendorInfo.spec.js","",""
"","33633","check first name with update data","chromium","2026-05-23","passed","2026-05-23","test vendor user login management page.","vendor.spec.js","",""
"","1","check position with invalid data","chromium","2026-05-21","skipped","2026-05-21","test user management page","user.spec.js","",""
"","32567","check edit status working or not","chromium","2026-05-21","passed","2026-05-21","test user management page","user.spec.js","",""
"","35673","check all valid field with update data","chromium","2026-05-23","passed","2026-05-23","test vendor user login management page.","vendor.spec.js","",""
"","22995","check delete vendor user","chromium","2026-05-23","passed","2026-05-23","test vendor user login management page.","vendor.spec.js","",""
"","38770","check update vendor name with blank short name @functional @regresstion","chromium","2026-06-09","passed","2026-06-09","test vendor info page","vendorInfo.spec.js","",""
"","25379","check userid with invalid data","chromium","2026-05-23","passed","2026-05-23","test vendor user login management page.","vendor.spec.js","",""
"","22397","check blank address name @functional @regresstion","chromium","2026-06-09","passed","2026-06-09","test vendor info page","vendorInfo.spec.js","",""
"","30687","check role name with update data","chromium","2026-05-23","passed","2026-05-23","test vendor user login management page.","vendor.spec.js","",""
"","27934","check user group filter with valid data @functional @regression","chromium","2026-06-07","passed","2026-06-07","test user login history","UserLoginHistory.spec.js","",""
"","21075","check username filter working or not","chromium","2026-05-21","passed","2026-05-21","test user management page","user.spec.js","",""
"","30210","check update vendor name with blank contact name @functional @regresstion","chromium","2026-06-09","passed","2026-06-09","test vendor info page","vendorInfo.spec.js","",""
"","14582","check update vendor name with blank division @functional @regresstion","chromium","2026-06-09","passed","2026-06-09","test vendor info page","vendorInfo.spec.js","",""
"","0","checked org division with invalid data","chromium","2026-05-21","skipped","2026-05-21","test user management page","user.spec.js","",""
